2 r 15.0000; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
4 r 3.5079; phi -1.0785; x 0.0829; y -0.1546; t_rel 0.5193;
4 r 3.5066; phi -1.0791; x 0.0828; y -0.1546; t_rel 0.5192;
4 r 3.5053; phi -1.0797; x 0.0827; y -0.1546; t_rel 0.5192;
4 r 3.5040; phi -1.0803; x 0.0825; y -0.1545; t_rel 0.5191;
4 r 3.5028; phi -1.0810; x 0.0824; y -0.1545; t_rel 0.5190;
4 r 3.5015; phi -1.0816; x 0.0823; y -0.1545; t_rel 0.5189;
4 r 3.5002; phi -1.0822; x 0.0821; y -0.1545; t_rel 0.5188;
4 r 3.4989; phi -1.0829; x 0.0820; y -0.1545; t_rel 0.5187;
4 r 3.4976; phi -1.0835; x 0.0819; y -0.1545; t_rel 0.5186;
4 r 3.4964; phi -1.0841; x 0.0818; y -0.1545; t_rel 0.5185;
4 r 3.4951; phi -1.0847; x 0.0816; y -0.1545; t_rel 0.5184;
4 r 3.4938; phi -1.0854; x 0.0815; y -0.1545; t_rel 0.5183;
4 r 3.4925; phi -1.0860; x 0.0814; y -0.1545; t_rel 0.5182;
4 r 3.4913; phi -1.0866; x 0.0813; y -0.1545; t_rel 0.5182;
4 r 3.4900; phi -1.0873; x 0.0811; y -0.1545; t_rel 0.5181;
4 r 3.4887; phi -1.0879; x 0.0810; y -0.1545; t_rel 0.5180;
4 r 3.4875; phi -1.0885; x 0.0809; y -0.1545; t_rel 0.5179;
4 r 3.4862; phi -1.0891; x 0.0807; y -0.1545; t_rel 0.5178;
4 r 3.4849; phi -1.0898; x 0.0806; y -0.1545; t_rel 0.5177;
4 r 3.4837; phi -1.0904; x 0.0805; y -0.1545; t_rel 0.5176;
4 r 3.4824; phi -1.0910; x 0.0804; y -0.1545; t_rel 0.5175;
4 r 3.4812; phi -1.0917; x 0.0802; y -0.1545; t_rel 0.5174;
4 r 3.4799; phi -1.0923; x 0.0801; y -0.1545; t_rel 0.5173;
4 r 3.4786; phi -1.0929; x 0.0800; y -0.1544; t_rel 0.5173;
4 r 3.4774; phi -1.0935; x 0.0799; y -0.1544; t_rel 0.5172;
4 r 3.4761; phi -1.0942; x 0.0797; y -0.1544; t_rel 0.5171;
4 r 3.4749; phi -1.0948; x 0.0796; y -0.1544; t_rel 0.5170;
4 r 3.4736; phi -1.0954; x 0.0795; y -0.1544; t_rel 0.5169;
4 r 3.4724; phi -1.0961; x 0.0794; y -0.1544; t_rel 0.5168;
4 r 3.4711; phi -1.0967; x 0.0792; y -0.1544; t_rel 0.5167;
4 r 3.4698; phi -1.0973; x 0.0791; y -0.1544; t_rel 0.5166;
4 r 3.4686; phi -1.0979; x 0.0790; y -0.1544; t_rel 0.5165;
4 r 3.4673; phi -1.0986; x 0.0789; y -0.1544; t_rel 0.5164;
4 r 3.4661; phi -1.0992; x 0.0787; y -0.1544; t_rel 0.5164;
4 r 3.4649; phi -1.0998; x 0.0786; y -0.1544; t_rel 0.5163;
4 r 3.4636; phi -1.1005; x 0.0785; y -0.1544; t_rel 0.5162;
4 r 3.4624; phi -1.1011; x 0.0784; y -0.1544; t_rel 0.5161;
4 r 3.4611; phi -1.1017; x 0.0782; y -0.1544; t_rel 0.5160;
4 r 3.4599; phi -1.1024; x 0.0781; y -0.1544; t_rel 0.5159;
4 r 3.4586; phi -1.1030; x 0.0780; y -0.1544; t_rel 0.5158;
4 r 3.4574; phi -1.1036; x 0.0779; y -0.1543; t_rel 0.5157;
4 r 3.4561; phi -1.1042; x 0.0777; y -0.1543; t_rel 0.5156;
4 r 3.4549; phi -1.1049; x 0.0776; y -0.1543; t_rel 0.5156;
4 r 3.4537; phi -1.1055; x 0.0775; y -0.1543; t_rel 0.5155;
4 r 3.4524; phi -1.1061; x 0.0774; y -0.1543; t_rel 0.5154;
4 r 3.4512; phi -1.1068; x 0.0772; y -0.1543; t_rel 0.5153;
4 r 3.4500; phi -1.1074; x 0.0771; y -0.1543; t_rel 0.5152;
4 r 3.4487; phi -1.1080; x 0.0770; y -0.1543; t_rel 0.5151;
4 r 3.4475; phi -1.1086; x 0.0769; y -0.1543; t_rel 0.5150;
4 r 3.4463; phi -1.1093; x 0.0767; y -0.1543; t_rel 0.5149;
4 r 3.4450; phi -1.1099; x 0.0766; y -0.1543; t_rel 0.5148;
4 r 3.4438; phi -1.1105; x 0.0765; y -0.1543; t_rel 0.5147;
4 r 3.4426; phi -1.1112; x 0.0764; y -0.1543; t_rel 0.5147;
4 r 3.4414; phi -1.1118; x 0.0762; y -0.1543; t_rel 0.5146;
4 r 3.4401; phi -1.1124; x 0.0761; y -0.1542; t_rel 0.5145;
4 r 3.4389; phi -1.1130; x 0.0760; y -0.1542; t_rel 0.5144;
4 r 3.4377; phi -1.1137; x 0.0759; y -0.1542; t_rel 0.5143;
4 r 3.4365; phi -1.1143; x 0.0757; y -0.1542; t_rel 0.5142;
4 r 3.4352; phi -1.1149; x 0.0756; y -0.1542; t_rel 0.5141;
4 r 3.4340; phi -1.1156; x 0.0755; y -0.1542; t_rel 0.5140;
4 r 3.4328; phi -1.1162; x 0.0754; y -0.1542; t_rel 0.5139;
4 r 3.4316; phi -1.1168; x 0.0752; y -0.1542; t_rel 0.5139;
4 r 3.4304; phi -1.1174; x 0.0751; y -0.1542; t_rel 0.5138;
4 r 3.4291; phi -1.1181; x 0.0750; y -0.1542; t_rel 0.5137;
4 r 3.4279; phi -1.1187; x 0.0749; y -0.1542; t_rel 0.5136;
4 r 3.4267; phi -1.1193; x 0.0748; y -0.1542; t_rel 0.5135;
4 r 3.4255; phi -1.1200; x 0.0746; y -0.1542; t_rel 0.5134;
4 r 3.4243; phi -1.1206; x 0.0745; y -0.1542; t_rel 0.5133;
4 r 3.4231; phi -1.1212; x 0.0744; y -0.1541; t_rel 0.5132;
4 r 3.4219; phi -1.1218; x 0.0743; y -0.1541; t_rel 0.5131;
4 r 3.4206; phi -1.1225; x 0.0741; y -0.1541; t_rel 0.5131;
4 r 3.4194; phi -1.1231; x 0.0740; y -0.1541; t_rel 0.5130;
4 r 3.4182; phi -1.1237; x 0.0739; y -0.1541; t_rel 0.5129;
4 r 3.4170; phi -1.1244; x 0.0738; y -0.1541; t_rel 0.5128;
4 r 3.4158; phi -1.1250; x 0.0736; y -0.1541; t_rel 0.5127;
4 r 3.4146; phi -1.1256; x 0.0735; y -0.1541; t_rel 0.5126;
4 r 3.4134; phi -1.1262; x 0.0734; y -0.1541; t_rel 0.5125;
4 r 3.4122; phi -1.1269; x 0.0733; y -0.1541; t_rel 0.5124;
4 r 3.4110; phi -1.1275; x 0.0732; y -0.1541; t_rel 0.5124;
4 r 3.4098; phi -1.1281; x 0.0730; y -0.1541; t_rel 0.5123;
4 r 3.4086; phi -1.1288; x 0.0729; y -0.1540; t_rel 0.5122;
4 r 3.4074; phi -1.1294; x 0.0728; y -0.1540; t_rel 0.5121;
4 r 3.4062; phi -1.1300; x 0.0727; y -0.1540; t_rel 0.5120;
4 r 3.4050; phi -1.1306; x 0.0725; y -0.1540; t_rel 0.5119;
4 r 3.4038; phi -1.1313; x 0.0724; y -0.1540; t_rel 0.5118;
4 r 3.4026; phi -1.1319; x 0.0723; y -0.1540; t_rel 0.5117;
4 r 3.4014; phi -1.1325; x 0.0722; y -0.1540; t_rel 0.5116;
4 r 3.4002; phi -1.1332; x 0.0721; y -0.1540; t_rel 0.5116;
4 r 3.3990; phi -1.1338; x 0.0719; y -0.1540; t_rel 0.5115;
4 r 3.3979; phi -1.1344; x 0.0718; y -0.1540; t_rel 0.5114;
4 r 3.3967; phi -1.1350; x 0.0717; y -0.1540; t_rel 0.5113;
4 r 3.3955; phi -1.1357; x 0.0716; y -0.1540; t_rel 0.5112;
4 r 3.3943; phi -1.1363; x 0.0714; y -0.1539; t_rel 0.5111;
4 r 3.3931; phi -1.1369; x 0.0713; y -0.1539; t_rel 0.5110;
4 r 3.3919; phi -1.1376; x 0.0712; y -0.1539; t_rel 0.5109;
4 r 3.3907; phi -1.1382; x 0.0711; y -0.1539; t_rel 0.5109;
4 r 3.3895; phi -1.1388; x 0.0710; y -0.1539; t_rel 0.5108;
4 r 3.3884; phi -1.1395; x 0.0708; y -0.1539; t_rel 0.5107;
4 r 3.3872; phi -1.1401; x 0.0707; y -0.1539; t_rel 0.5106;
4 r 3.3860; phi -1.1407; x 0.0706; y -0.1539; t_rel 0.5105;
4 r 3.3848; phi -1.1413; x 0.0705; y -0.1539; t_rel 0.5104;
4 r 3.3836; phi -1.1420; x 0.0703; y -0.1539; t_rel 0.5103;
4 r 3.3825; phi -1.1426; x 0.0702; y -0.1539; t_rel 0.5102;
4 r 3.3813; phi -1.1432; x 0.0701; y -0.1538; t_rel 0.5102;
4 r 3.3801; phi -1.1439; x 0.0700; y -0.1538; t_rel 0.5101;
4 r 3.3789; phi -1.1445; x 0.0699; y -0.1538; t_rel 0.5100;
4 r 3.3778; phi -1.1451; x 0.0697; y -0.1538; t_rel 0.5099;
4 r 3.3766; phi -1.1457; x 0.0696; y -0.1538; t_rel 0.5098;
4 r 3.3754; phi -1.1464; x 0.0695; y -0.1538; t_rel 0.5097;
4 r 3.3743; phi -1.1470; x 0.0694; y -0.1538; t_rel 0.5096;
4 r 3.3731; phi -1.1476; x 0.0693; y -0.1538; t_rel 0.5095;
4 r 3.3719; phi -1.1483; x 0.0691; y -0.1538; t_rel 0.5095;
4 r 3.3707; phi -1.1489; x 0.0690; y -0.1538; t_rel 0.5094;
4 r 3.3696; phi -1.1495; x 0.0689; y -0.1537; t_rel 0.5093;
4 r 3.3684; phi -1.1501; x 0.0688; y -0.1537; t_rel 0.5092;
4 r 3.3672; phi -1.1508; x 0.0687; y -0.1537; t_rel 0.5091;
4 r 3.3661; phi -1.1514; x 0.0685; y -0.1537; t_rel 0.5090;
4 r 3.3649; phi -1.1520; x 0.0684; y -0.1537; t_rel 0.5089;
4 r 3.3638; phi -1.1527; x 0.0683; y -0.1537; t_rel 0.5088;
4 r 3.3626; phi -1.1533; x 0.0682; y -0.1537; t_rel 0.5088;
4 r 3.3614; phi -1.1539; x 0.0681; y -0.1537; t_rel 0.5087;
4 r 3.3603; phi -1.1545; x 0.0679; y -0.1537; t_rel 0.5086;
4 r 3.3591; phi -1.1552; x 0.0678; y -0.1537; t_rel 0.5085;
4 r 3.3580; phi -1.1558; x 0.0677; y -0.1536; t_rel 0.5084;
4 r 3.3568; phi -1.1564; x 0.0676; y -0.1536; t_rel 0.5083;
4 r 3.3556; phi -1.1571; x 0.0675; y -0.1536; t_rel 0.5082;
4 r 3.3545; phi -1.1577; x 0.0673; y -0.1536; t_rel 0.5081;
4 r 3.3533; phi -1.1583; x 0.0672; y -0.1536; t_rel 0.5081;
4 r 3.3522; phi -1.1589; x 0.0671; y -0.1536; t_rel 0.5080;
4 r 3.3510; phi -1.1596; x 0.0670; y -0.1536; t_rel 0.5079;
4 r 3.3499; phi -1.1602; x 0.0669; y -0.1536; t_rel 0.5078;
4 r 3.3487; phi -1.1608; x 0.0667; y -0.1536; t_rel 0.5077;
4 r 3.3476; phi -1.1615; x 0.0666; y -0.1536; t_rel 0.5076;
4 r 3.3464; phi -1.1621; x 0.0665; y -0.1535; t_rel 0.5075;
4 r 3.3453; phi -1.1627; x 0.0664; y -0.1535; t_rel 0.5074;
4 r 3.3441; phi -1.1633; x 0.0663; y -0.1535; t_rel 0.5074;
4 r 3.3430; phi -1.1640; x 0.0661; y -0.1535; t_rel 0.5073;
4 r 3.3418; phi -1.1646; x 0.0660; y -0.1535; t_rel 0.5072;
4 r 3.3407; phi -1.1652; x 0.0659; y -0.1535; t_rel 0.5071;
4 r 3.3396; phi -1.1659; x 0.0658; y -0.1535; t_rel 0.5070;
4 r 3.3384; phi -1.1665; x 0.0657; y -0.1535; t_rel 0.5069;
4 r 3.3373; phi -1.1671; x 0.0655; y -0.1535; t_rel 0.5068;
4 r 3.3361; phi -1.1677; x 0.0654; y -0.1534; t_rel 0.5068;
4 r 3.3350; phi -1.1684; x 0.0653; y -0.1534; t_rel 0.5067;
4 r 3.3339; phi -1.1690; x 0.0652; y -0.1534; t_rel 0.5066;
4 r 3.3327; phi -1.1696; x 0.0651; y -0.1534; t_rel 0.5065;
4 r 3.3316; phi -1.1703; x 0.0650; y -0.1534; t_rel 0.5064;
4 r 3.3305; phi -1.1709; x 0.0648; y -0.1534; t_rel 0.5063;
4 r 3.3293; phi -1.1715; x 0.0647; y -0.1534; t_rel 0.5062;
4 r 3.3282; phi -1.1722; x 0.0646; y -0.1534; t_rel 0.5062;
4 r 3.3271; phi -1.1728; x 0.0645; y -0.1533; t_rel 0.5061;
4 r 3.3259; phi -1.1734; x 0.0644; y -0.1533; t_rel 0.5060;
4 r 3.3248; phi -1.1740; x 0.0642; y -0.1533; t_rel 0.5059;
4 r 3.3237; phi -1.1747; x 0.0641; y -0.1533; t_rel 0.5058;
4 r 3.3225; phi -1.1753; x 0.0640; y -0.1533; t_rel 0.5057;
4 r 3.3214; phi -1.1759; x 0.0639; y -0.1533; t_rel 0.5056;
4 r 3.3203; phi -1.1766; x 0.0638; y -0.1533; t_rel 0.5055;
4 r 3.3191; phi -1.1772; x 0.0636; y -0.1533; t_rel 0.5055;
4 r 3.3180; phi -1.1778; x 0.0635; y -0.1533; t_rel 0.5054;
4 r 3.3169; phi -1.1784; x 0.0634; y -0.1532; t_rel 0.5053;
4 r 3.3158; phi -1.1791; x 0.0633; y -0.1532; t_rel 0.5052;
4 r 3.3146; phi -1.1797; x 0.0632; y -0.1532; t_rel 0.5051;
4 r 3.3135; phi -1.1803; x 0.0631; y -0.1532; t_rel 0.5050;
4 r 3.3124; phi -1.1810; x 0.0629; y -0.1532; t_rel 0.5049;
4 r 3.3113; phi -1.1816; x 0.0628; y -0.1532; t_rel 0.5049;
4 r 3.3102; phi -1.1822; x 0.0627; y -0.1532; t_rel 0.5048;
4 r 3.3090; phi -1.1828; x 0.0626; y -0.1532; t_rel 0.5047;
4 r 3.3079; phi -1.1835; x 0.0625; y -0.1531; t_rel 0.5046;
4 r 3.3068; phi -1.1841; x 0.0624; y -0.1531; t_rel 0.5045;
4 r 3.3057; phi -1.1847; x 0.0622; y -0.1531; t_rel 0.5044;
4 r 3.3046; phi -1.1854; x 0.0621; y -0.1531; t_rel 0.5043;
4 r 3.3035; phi -1.1860; x 0.0620; y -0.1531; t_rel 0.5043;
4 r 3.3024; phi -1.1866; x 0.0619; y -0.1531; t_rel 0.5042;
4 r 3.3012; phi -1.1872; x 0.0618; y -0.1531; t_rel 0.5041;
4 r 3.3001; phi -1.1879; x 0.0617; y -0.1531; t_rel 0.5040;
4 r 3.2990; phi -1.1885; x 0.0615; y -0.1530; t_rel 0.5039;
4 r 3.2979; phi -1.1891; x 0.0614; y -0.1530; t_rel 0.5038;
4 r 3.2968; phi -1.1898; x 0.0613; y -0.1530; t_rel 0.5037;
4 r 3.2957; phi -1.1904; x 0.0612; y -0.1530; t_rel 0.5037;
4 r 3.2946; phi -1.1910; x 0.0611; y -0.1530; t_rel 0.5036;
4 r 3.2935; phi -1.1916; x 0.0610; y -0.1530; t_rel 0.5035;
4 r 3.2924; phi -1.1923; x 0.0608; y -0.1530; t_rel 0.5034;
4 r 3.2913; phi -1.1929; x 0.0607; y -0.1530; t_rel 0.5033;
4 r 3.2902; phi -1.1935; x 0.0606; y -0.1529; t_rel 0.5032;
4 r 3.2891; phi -1.1942; x 0.0605; y -0.1529; t_rel 0.5031;
4 r 3.2880; phi -1.1948; x 0.0604; y -0.1529; t_rel 0.5031;
4 r 3.2869; phi -1.1954; x 0.0603; y -0.1529; t_rel 0.5030;
4 r 3.2858; phi -1.1960; x 0.0601; y -0.1529; t_rel 0.5029;
4 r 3.2847; phi -1.1967; x 0.0600; y -0.1529; t_rel 0.5028;
4 r 3.2836; phi -1.1973; x 0.0599; y -0.1529; t_rel 0.5027;
4 r 3.2825; phi -1.1979; x 0.0598; y -0.1528; t_rel 0.5026;
4 r 3.2814; phi -1.1986; x 0.0597; y -0.1528; t_rel 0.5025;
4 r 3.2803; phi -1.1992; x 0.0596; y -0.1528; t_rel 0.5025;
4 r 3.2792; phi -1.1998; x 0.0594; y -0.1528; t_rel 0.5024;
4 r 3.2781; phi -1.2004; x 0.0593; y -0.1528; t_rel 0.5023;
4 r 3.2770; phi -1.2011; x 0.0592; y -0.1528; t_rel 0.5022;
4 r 3.2759; phi -1.2017; x 0.0591; y -0.1528; t_rel 0.5021;
4 r 3.2748; phi -1.2023; x 0.0590; y -0.1527; t_rel 0.5020;
4 r 3.2737; phi -1.2030; x 0.0589; y -0.1527; t_rel 0.5019;
4 r 3.2726; phi -1.2036; x 0.0587; y -0.1527; t_rel 0.5019;
4 r 3.2715; phi -1.2042; x 0.0586; y -0.1527; t_rel 0.5018;
4 r 3.2704; phi -1.2048; x 0.0585; y -0.1527; t_rel 0.5017;
4 r 3.2694; phi -1.2055; x 0.0584; y -0.1527; t_rel 0.5016;
4 r 3.2683; phi -1.2061; x 0.0583; y -0.1527; t_rel 0.5015;
4 r 3.2672; phi -1.2067; x 0.0582; y -0.1527; t_rel 0.5014;
4 r 3.2661; phi -1.2074; x 0.0581; y -0.1526; t_rel 0.5013;
4 r 3.2650; phi -1.2080; x 0.0579; y -0.1526; t_rel 0.5013;
4 r 3.2639; phi -1.2086; x 0.0578; y -0.1526; t_rel 0.5012;
4 r 3.2628; phi -1.2093; x 0.0577; y -0.1526; t_rel 0.5011;
4 r 3.2618; phi -1.2099; x 0.0576; y -0.1526; t_rel 0.5010;
4 r 3.2607; phi -1.2105; x 0.0575; y -0.1526; t_rel 0.5009;
4 r 3.2596; phi -1.2111; x 0.0574; y -0.1526; t_rel 0.5008;
4 r 3.2585; phi -1.2118; x 0.0572; y -0.1525; t_rel 0.5008;
4 r 3.2574; phi -1.2124; x 0.0571; y -0.1525; t_rel 0.5007;
4 r 3.2564; phi -1.2130; x 0.0570; y -0.1525; t_rel 0.5006;
4 r 3.2553; phi -1.2137; x 0.0569; y -0.1525; t_rel 0.5005;
4 r 3.2542; phi -1.2143; x 0.0568; y -0.1525; t_rel 0.5004;
4 r 3.2531; phi -1.2149; x 0.0567; y -0.1525; t_rel 0.5003;
4 r 3.2521; phi -1.2155; x 0.0566; y -0.1524; t_rel 0.5002;
4 r 3.2510; phi -1.2162; x 0.0564; y -0.1524; t_rel 0.5002;
4 r 3.2499; phi -1.2168; x 0.0563; y -0.1524; t_rel 0.5001;
4 r 3.2488; phi -1.2174; x 0.0562; y -0.1524; t_rel 0.5000;
4 r 3.2478; phi -1.2181; x 0.0561; y -0.1524; t_rel 0.4999;
4 r 3.2467; phi -1.2187; x 0.0560; y -0.1524; t_rel 0.4998;
4 r 3.2456; phi -1.2193; x 0.0559; y -0.1524; t_rel 0.4997;
4 r 3.2446; phi -1.2199; x 0.0558; y -0.1523; t_rel 0.4997;
4 r 3.2435; phi -1.2206; x 0.0556; y -0.1523; t_rel 0.4996;
4 r 3.2424; phi -1.2212; x 0.0555; y -0.1523; t_rel 0.4995;
4 r 3.2414; phi -1.2218; x 0.0554; y -0.1523; t_rel 0.4994;
4 r 3.2403; phi -1.2225; x 0.0553; y -0.1523; t_rel 0.4993;
4 r 3.2392; phi -1.2231; x 0.0552; y -0.1523; t_rel 0.4992;
4 r 3.2382; phi -1.2237; x 0.0551; y -0.1523; t_rel 0.4991;
4 r 3.2371; phi -1.2243; x 0.0550; y -0.1522; t_rel 0.4991;
4 r 3.2360; phi -1.2250; x 0.0548; y -0.1522; t_rel 0.4990;
4 r 3.2350; phi -1.2256; x 0.0547; y -0.1522; t_rel 0.4989;
4 r 3.2339; phi -1.2262; x 0.0546; y -0.1522; t_rel 0.4988;
4 r 3.2328; phi -1.2269; x 0.0545; y -0.1522; t_rel 0.4987;
4 r 3.2318; phi -1.2275; x 0.0544; y -0.1522; t_rel 0.4986;
4 r 3.2307; phi -1.2281; x 0.0543; y -0.1521; t_rel 0.4986;
4 r 3.2297; phi -1.2287; x 0.0542; y -0.1521; t_rel 0.4985;
4 r 3.2286; phi -1.2294; x 0.0541; y -0.1521; t_rel 0.4984;
4 r 3.2276; phi -1.2300; x 0.0539; y -0.1521; t_rel 0.4983;
4 r 3.2265; phi -1.2306; x 0.0538; y -0.1521; t_rel 0.4982;
4 r 3.2254; phi -1.2313; x 0.0537; y -0.1521; t_rel 0.4981;
4 r 3.2244; phi -1.2319; x 0.0536; y -0.1520; t_rel 0.4980;
4 r 3.2233; phi -1.2325; x 0.0535; y -0.1520; t_rel 0.4980;
4 r 3.2223; phi -1.2331; x 0.0534; y -0.1520; t_rel 0.4979;
4 r 3.2212; phi -1.2338; x 0.0533; y -0.1520; t_rel 0.4978;
4 r 3.2202; phi -1.2344; x 0.0531; y -0.1520; t_rel 0.4977;
4 r 3.2191; phi -1.2350; x 0.0530; y -0.1520; t_rel 0.4976;
4 r 3.2181; phi -1.2357; x 0.0529; y -0.1520; t_rel 0.4975;
4 r 3.2170; phi -1.2363; x 0.0528; y -0.1519; t_rel 0.4975;
4 r 3.2160; phi -1.2369; x 0.0527; y -0.1519; t_rel 0.4974;
4 r 3.2149; phi -1.2375; x 0.0526; y -0.1519; t_rel 0.4973;
4 r 3.2139; phi -1.2382; x 0.0525; y -0.1519; t_rel 0.4972;
4 r 3.2129; phi -1.2388; x 0.0524; y -0.1519; t_rel 0.4971;
4 r 3.2118; phi -1.2394; x 0.0522; y -0.1519; t_rel 0.4970;
4 r 3.2108; phi -1.2401; x 0.0521; y -0.1518; t_rel 0.4969;
4 r 3.2097; phi -1.2407; x 0.0520; y -0.1518; t_rel 0.4969;
4 r 3.2087; phi -1.2413; x 0.0519; y -0.1518; t_rel 0.4968;
4 r 3.2076; phi -1.2420; x 0.0518; y -0.1518; t_rel 0.4967;
4 r 3.2066; phi -1.2426; x 0.0517; y -0.1518; t_rel 0.4966;
4 r 3.2056; phi -1.2432; x 0.0516; y -0.1518; t_rel 0.4965;
4 r 3.2045; phi -1.2438; x 0.0515; y -0.1517; t_rel 0.4964;
4 r 3.2035; phi -1.2445; x 0.0513; y -0.1517; t_rel 0.4964;
4 r 3.2024; phi -1.2451; x 0.0512; y -0.1517; t_rel 0.4963;
4 r 3.2014; phi -1.2457; x 0.0511; y -0.1517; t_rel 0.4962;
4 r 3.2004; phi -1.2464; x 0.0510; y -0.1517; t_rel 0.4961;
4 r 3.1993; phi -1.2470; x 0.0509; y -0.1517; t_rel 0.4960;
4 r 3.1983; phi -1.2476; x 0.0508; y -0.1516; t_rel 0.4959;
4 r 3.1973; phi -1.2482; x 0.0507; y -0.1516; t_rel 0.4959;
4 r 3.1962; phi -1.2489; x 0.0506; y -0.1516; t_rel 0.4958;
4 r 3.1952; phi -1.2495; x 0.0505; y -0.1516; t_rel 0.4957;
4 r 3.1942; phi -1.2501; x 0.0503; y -0.1516; t_rel 0.4956;
4 r 3.1931; phi -1.2508; x 0.0502; y -0.1515; t_rel 0.4955;
4 r 3.1921; phi -1.2514; x 0.0501; y -0.1515; t_rel 0.4954;
4 r 3.1911; phi -1.2520; x 0.0500; y -0.1515; t_rel 0.4954;
4 r 3.1900; phi -1.2526; x 0.0499; y -0.1515; t_rel 0.4953;
4 r 3.1890; phi -1.2533; x 0.0498; y -0.1515; t_rel 0.4952;
4 r 3.1880; phi -1.2539; x 0.0497; y -0.1515; t_rel 0.4951;
4 r 3.1870; phi -1.2545; x 0.0496; y -0.1514; t_rel 0.4950;
4 r 3.1859; phi -1.2552; x 0.0494; y -0.1514; t_rel 0.4949;
4 r 3.1849; phi -1.2558; x 0.0493; y -0.1514; t_rel 0.4948;
4 r 3.1839; phi -1.2564; x 0.0492; y -0.1514; t_rel 0.4948;
4 r 3.1829; phi -1.2570; x 0.0491; y -0.1514; t_rel 0.4947;
4 r 3.1818; phi -1.2577; x 0.0490; y -0.1514; t_rel 0.4946;
4 r 3.1808; phi -1.2583; x 0.0489; y -0.1513; t_rel 0.4945;
4 r 3.1798; phi -1.2589; x 0.0488; y -0.1513; t_rel 0.4944;
4 r 3.1788; phi -1.2596; x 0.0487; y -0.1513; t_rel 0.4943;
4 r 3.1777; phi -1.2602; x 0.0486; y -0.1513; t_rel 0.4943;
4 r 3.1767; phi -1.2608; x 0.0485; y -0.1513; t_rel 0.4942;
4 r 3.1757; phi -1.2614; x 0.0483; y -0.1512; t_rel 0.4941;
4 r 3.1747; phi -1.2621; x 0.0482; y -0.1512; t_rel 0.4940;
4 r 3.1737; phi -1.2627; x 0.0481; y -0.1512; t_rel 0.4939;
4 r 3.1727; phi -1.2633; x 0.0480; y -0.1512; t_rel 0.4938;
4 r 3.1716; phi -1.2640; x 0.0479; y -0.1512; t_rel 0.4938;
4 r 3.1706; phi -1.2646; x 0.0478; y -0.1512; t_rel 0.4937;
4 r 3.1696; phi -1.2652; x 0.0477; y -0.1511; t_rel 0.4936;
4 r 3.1686; phi -1.2658; x 0.0476; y -0.1511; t_rel 0.4935;
4 r 3.1676; phi -1.2665; x 0.0475; y -0.1511; t_rel 0.4934;
4 r 3.1666; phi -1.2671; x 0.0473; y -0.1511; t_rel 0.4933;
4 r 3.1656; phi -1.2677; x 0.0472; y -0.1511; t_rel 0.4933;
4 r 3.1645; phi -1.2684; x 0.0471; y -0.1510; t_rel 0.4932;
4 r 3.1635; phi -1.2690; x 0.0470; y -0.1510; t_rel 0.4931;
4 r 3.1625; phi -1.2696; x 0.0469; y -0.1510; t_rel 0.4930;
4 r 3.1615; phi -1.2702; x 0.0468; y -0.1510; t_rel 0.4929;
4 r 3.1605; phi -1.2709; x 0.0467; y -0.1510; t_rel 0.4928;
4 r 3.1595; phi -1.2715; x 0.0466; y -0.1510; t_rel 0.4928;
4 r 3.1585; phi -1.2721; x 0.0465; y -0.1509; t_rel 0.4927;
4 r 3.1575; phi -1.2728; x 0.0464; y -0.1509; t_rel 0.4926;
4 r 3.1565; phi -1.2734; x 0.0462; y -0.1509; t_rel 0.4925;
4 r 3.1555; phi -1.2740; x 0.0461; y -0.1509; t_rel 0.4924;
4 r 3.1545; phi -1.2746; x 0.0460; y -0.1509; t_rel 0.4923;
4 r 3.1535; phi -1.2753; x 0.0459; y -0.1508; t_rel 0.4923;
4 r 3.1525; phi -1.2759; x 0.0458; y -0.1508; t_rel 0.4922;
4 r 3.1515; phi -1.2765; x 0.0457; y -0.1508; t_rel 0.4921;
4 r 3.1505; phi -1.2772; x 0.0456; y -0.1508; t_rel 0.4920;
4 r 3.1495; phi -1.2778; x 0.0455; y -0.1508; t_rel 0.4919;
4 r 3.1485; phi -1.2784; x 0.0454; y -0.1507; t_rel 0.4918;
4 r 3.1475; phi -1.2791; x 0.0453; y -0.1507; t_rel 0.4918;
4 r 3.1465; phi -1.2797; x 0.0452; y -0.1507; t_rel 0.4917;
4 r 3.1455; phi -1.2803; x 0.0450; y -0.1507; t_rel 0.4916;
4 r 3.1445; phi -1.2809; x 0.0449; y -0.1507; t_rel 0.4915;
4 r 3.1435; phi -1.2816; x 0.0448; y -0.1506; t_rel 0.4914;
4 r 3.1425; phi -1.2822; x 0.0447; y -0.1506; t_rel 0.4913;
4 r 3.1415; phi -1.2828; x 0.0446; y -0.1506; t_rel 0.4913;
4 r 3.1405; phi -1.2835; x 0.0445; y -0.1506; t_rel 0.4912;
4 r 3.1395; phi -1.2841; x 0.0444; y -0.1506; t_rel 0.4911;
4 r 3.1385; phi -1.2847; x 0.0443; y -0.1505; t_rel 0.4910;
4 r 3.1375; phi -1.2853; x 0.0442; y -0.1505; t_rel 0.4909;
4 r 3.1365; phi -1.2860; x 0.0441; y -0.1505; t_rel 0.4908;
4 r 3.1355; phi -1.2866; x 0.0440; y -0.1505; t_rel 0.4908;
