2 r 11.6574; phi -0.1132; x 0.5791; y -0.0658; t_rel 0.8227;
2 r 11.6478; phi -0.1138; x 0.5786; y -0.0661; t_rel 0.8222;
2 r 11.6382; phi -0.1144; x 0.5781; y -0.0664; t_rel 0.8217;
2 r 11.6187; phi -0.1150; x 0.5771; y -0.0667; t_rel 0.8206;
2 r 11.6039; phi -0.1157; x 0.5763; y -0.0670; t_rel 0.8198;
2 r 11.5942; phi -0.1163; x 0.5758; y -0.0673; t_rel 0.8193;
2 r 11.5829; phi -0.1169; x 0.5752; y -0.0676; t_rel 0.8187;
2 r 11.5599; phi -0.1176; x 0.5740; y -0.0678; t_rel 0.8174;
2 r 11.5502; phi -0.1182; x 0.5735; y -0.0681; t_rel 0.8169;
2 r 11.5405; phi -0.1188; x 0.5730; y -0.0684; t_rel 0.8164;
2 r 11.5237; phi -0.1194; x 0.5721; y -0.0687; t_rel 0.8155;
2 r 11.5062; phi -0.1201; x 0.5712; y -0.0689; t_rel 0.8145;
2 r 11.4965; phi -0.1207; x 0.5706; y -0.0692; t_rel 0.8140;
2 r 11.4868; phi -0.1213; x 0.5701; y -0.0695; t_rel 0.8135;
2 r 11.4668; phi -0.1220; x 0.5691; y -0.0698; t_rel 0.8124;
2 r 11.4526; phi -0.1226; x 0.5683; y -0.0700; t_rel 0.8116;
2 r 11.4428; phi -0.1232; x 0.5678; y -0.0703; t_rel 0.8111;
2 r 11.4331; phi -0.1238; x 0.5673; y -0.0706; t_rel 0.8105;
2 r 11.4121; phi -0.1245; x 0.5662; y -0.0708; t_rel 0.8094;
2 r 11.3988; phi -0.1251; x 0.5655; y -0.0711; t_rel 0.8087;
2 r 11.3891; phi -0.1257; x 0.5650; y -0.0714; t_rel 0.8081;
2 r 11.3793; phi -0.1264; x 0.5644; y -0.0717; t_rel 0.8076;
2 r 11.3593; phi -0.1270; x 0.5634; y -0.0719; t_rel 0.8065;
2 r 11.3452; phi -0.1276; x 0.5626; y -0.0722; t_rel 0.8057;
2 r 11.3354; phi -0.1282; x 0.5621; y -0.0725; t_rel 0.8052;
2 r 11.3256; phi -0.1289; x 0.5616; y -0.0728; t_rel 0.8047;
2 r 11.3083; phi -0.1295; x 0.5607; y -0.0730; t_rel 0.8037;
2 r 11.2915; phi -0.1301; x 0.5598; y -0.0733; t_rel 0.8028;
2 r 11.2817; phi -0.1308; x 0.5593; y -0.0735; t_rel 0.8023;
2 r 11.2719; phi -0.1314; x 0.5587; y -0.0738; t_rel 0.8017;
2 r 11.2591; phi -0.1320; x 0.5581; y -0.0741; t_rel 0.8010;
3 r 11.2384; phi -0.1326; x 0.5570; y -0.0743; t_rel 0.7999;
3 r 11.2280; phi -0.1333; x 0.5564; y -0.0746; t_rel 0.7993;
3 r 11.2182; phi -0.1339; x 0.5559; y -0.0749; t_rel 0.7988;
