2 r 10.7641; phi -0.1465; x 0.5324; y -0.0785; t_rel 0.8495;
2 r 10.7515; phi -0.1471; x 0.5318; y -0.0788; t_rel 0.8490;
2 r 10.7388; phi -0.1477; x 0.5311; y -0.0790; t_rel 0.8486;
2 r 10.7262; phi -0.1483; x 0.5304; y -0.0793; t_rel 0.8481;
2 r 10.7136; phi -0.1490; x 0.5297; y -0.0795; t_rel 0.8476;
2 r 10.7010; phi -0.1496; x 0.5291; y -0.0797; t_rel 0.8472;
2 r 10.6885; phi -0.1502; x 0.5284; y -0.0800; t_rel 0.8467;
2 r 10.6760; phi -0.1509; x 0.5277; y -0.0802; t_rel 0.8463;
2 r 10.6635; phi -0.1515; x 0.5271; y -0.0805; t_rel 0.8458;
2 r 10.6511; phi -0.1521; x 0.5264; y -0.0807; t_rel 0.8453;
2 r 10.6387; phi -0.1527; x 0.5257; y -0.0809; t_rel 0.8449;
2 r 10.6263; phi -0.1534; x 0.5251; y -0.0812; t_rel 0.8444;
2 r 10.6140; phi -0.1540; x 0.5244; y -0.0814; t_rel 0.8440;
2 r 10.6017; phi -0.1546; x 0.5238; y -0.0816; t_rel 0.8435;
2 r 10.5894; phi -0.1553; x 0.5231; y -0.0819; t_rel 0.8431;
2 r 10.5772; phi -0.1559; x 0.5224; y -0.0821; t_rel 0.8426;
2 r 10.5649; phi -0.1565; x 0.5218; y -0.0823; t_rel 0.8422;
2 r 10.5528; phi -0.1571; x 0.5211; y -0.0826; t_rel 0.8417;
2 r 10.5406; phi -0.1578; x 0.5205; y -0.0828; t_rel 0.8413;
2 r 10.5285; phi -0.1584; x 0.5198; y -0.0830; t_rel 0.8408;
2 r 10.5164; phi -0.1590; x 0.5192; y -0.0833; t_rel 0.8404;
2 r 10.5044; phi -0.1597; x 0.5185; y -0.0835; t_rel 0.8399;
2 r 10.4923; phi -0.1603; x 0.5179; y -0.0837; t_rel 0.8395;
2 r 10.4803; phi -0.1609; x 0.5172; y -0.0840; t_rel 0.8390;
2 r 10.4684; phi -0.1615; x 0.5166; y -0.0842; t_rel 0.8386;
2 r 10.4564; phi -0.1622; x 0.5160; y -0.0844; t_rel 0.8381;
2 r 10.4445; phi -0.1628; x 0.5153; y -0.0846; t_rel 0.8377;
2 r 10.4327; phi -0.1634; x 0.5147; y -0.0849; t_rel 0.8373;
2 r 10.4208; phi -0.1641; x 0.5140; y -0.0851; t_rel 0.8368;
2 r 10.4090; phi -0.1647; x 0.5134; y -0.0853; t_rel 0.8364;
2 r 10.3972; phi -0.1653; x 0.5128; y -0.0855; t_rel 0.8360;
2 r 10.3855; phi -0.1659; x 0.5121; y -0.0858; t_rel 0.8355;
